Shipment ID,Sales Person,Geography,Product,Sales,Status,Delivered On,Date
40,Sandra Henderson,USA,Mouse,329.12,Completed,5/1/2024,4/30/2024
41,Kayla Banks,UK,Laptop,241.12,Completed,4/28/2024,4/20/2024
42,Jeffrey Sims,China,Printer,556.27,Active,NULL,9/17/2022
43,Kevin King,Germany,Laptop,862,Completed,11/17/2023,11/7/2023
44,Stacey Brown,UK,Printer,408.63,Completed,2/27/2023,2/19/2023
45,Cynthia Herman,Japan,Headphones,396.62,Completed,5/17/2023,4/29/2023
46,Jeffery Mills,Canada,Smartphone,454.59,Completed,2/4/2024,2/2/2024
47,Cynthia Herman,Japan,Tablet,706.62,Active,NULL,1/11/2024
48,Jeffrey Rivera,India,Speaker,662.28,Active,NULL,1/3/2024
49,Justin Bowman,China,Keyboard,258.49,Completed,4/13/2023,3/29/2023
50,Michelle Garrett,Canada,Mouse,160.55,Active,NULL,3/14/2023
51,Laurie Figueroa,Brazil,Webcam,151.43,Completed,9/9/2022,9/5/2022
52,Bonnie Lucero,USA,Laptop,778.14,Active,NULL,3/25/2024
53,Erin Arnold,Japan,Webcam,364.91,Completed,1/27/2024,1/9/2024
54,Sandra Henderson,Germany,Webcam,855.72,Active,NULL,10/17/2023
55,Stacey Brown,Brazil,Headphones,904.37,Completed,8/29/2022,8/25/2022
56,Stacey Brown,USA,Printer,120.27,Completed,8/14/2023,8/13/2023
57,Kayla Banks,Australia,Printer,881.01,Completed,1/2/2024,12/13/2023
58,Candace Harris,France,Laptop,735.54,Completed,9/9/2023,9/3/2023
59,Justin Bowman,China,Smartphone,676.67,Completed,6/16/2023,6/1/2023
60,Brandon Richards,India,Webcam,363.97,Completed,4/8/2023,3/27/2023
61,Gabriel Vasquez,Canada,Webcam,103.35,Completed,1/1/2023,12/30/2022
62,Laurie Figueroa,USA,Tablet,418.57,Completed,6/3/2024,6/2/2024
63,Kayla Banks,Brazil,Tablet,645.64,Active,NULL,7/10/2023
64,Sandra Henderson,UK,Webcam,921.68,Completed,9/18/2022,9/10/2022
65,Debra Hughes,France,Keyboard,884.2,Active,NULL,8/23/2023
66,Catherine Roberts,Canada,Webcam,396.68,Completed,8/4/2024,8/2/2024
67,Cynthia Herman,China,Webcam,510.05,Completed,1/28/2024,1/13/2024
68,Erin Arnold,Japan,Smartphone,234.33,Completed,4/28/2024,4/10/2024
69,Jeffrey Rivera,Germany,Keyboard,797.01,Completed,1/23/2023,1/13/2023
70,Laurie Figueroa,Brazil,Smartphone,660.73,Completed,8/19/2022,8/15/2022
71,Stacey Brown,Japan,Monitor,837.92,Completed,1/13/2023,12/26/2022
72,Laurie Figueroa,India,Keyboard,167,Completed,6/2/2024,5/21/2024
73,Erin Arnold,France,Monitor,441.41,Active,NULL,3/6/2024
74,James Moore,USA,Keyboard,232.86,Active,NULL,5/29/2024
75,Jeffrey Sims,Canada,Speaker,397.9,Returned,NULL,10/27/2022
76,James Moore,Japan,Headphones,997.9,Completed,9/11/2023,8/24/2023
77,Kevin King,China,Speaker,852.99,Returned,NULL,9/18/2022
78,Gabriel Vasquez,Japan,Monitor,964.31,Active,NULL,8/3/2023
79,Cynthia Herman,Germany,Printer,752.31,Active,NULL,8/27/2023
80,Michelle Garrett,Germany,Speaker,234.04,Returned,NULL,5/23/2023
81,Jessica White,Australia,Speaker,655.47,Returned,NULL,2/23/2023
82,Kayla Banks,Australia,Tablet,995.85,Completed,2/9/2023,1/20/2023
83,Kayla Banks,Japan,Mouse,140.73,Active,NULL,7/5/2023
84,Michelle Garrett,China,Webcam,542.28,Completed,4/25/2024,4/10/2024
85,Gabriel Vasquez,Japan,Headphones,212.92,Completed,8/25/2022,8/7/2022
86,Laurie Figueroa,USA,Smartphone,606.45,Completed,8/8/2023,8/7/2023
87,Jeffrey Rivera,Australia,Smartphone,179.86,Active,NULL,2/2/2024
88,Jeffrey Rivera,USA,Webcam,557.65,Completed,2/9/2023,2/8/2023
89,Erin Arnold,India,Monitor,338.54,Returned,NULL,2/14/2024
90,James Moore,Brazil,Speaker,699.85,Completed,4/12/2023,4/8/2023
91,Kayla Banks,India,Keyboard,660.5,Active,NULL,8/4/2024
92,Jeffrey Sims,China,Printer,499.5,Completed,10/2/2023,9/17/2023
93,Laurie Figueroa,India,Mouse,436.5,Active,NULL,2/14/2023
94,Jessica White,Australia,Laptop,325.81,Completed,5/2/2023,4/12/2023
95,Catherine Roberts,UK,Monitor,286.43,Completed,3/21/2024,3/13/2024
96,Jeffrey Sims,Germany,Laptop,907.56,Completed,8/29/2022,8/19/2022
97,Catherine Roberts,Brazil,Monitor,351.54,Completed,3/4/2024,2/29/2024
98,Jessica White,Germany,Mouse,662.57,Completed,10/29/2022,10/19/2022
99,Jeffrey Sims,Australia,Printer,630.27,Completed,12/27/2022,12/7/2022
100,Debra Hughes,USA,Smartphone,481.02,Active,NULL,5/24/2024
101,Debra Hughes,Germany,Monitor,377.58,Completed,7/25/2024,7/15/2024
102,Erin Arnold,Brazil,Monitor,781.12,Completed,4/12/2023,4/8/2023
103,Jeffery Mills,USA,Smartphone,482.04,Active,NULL,12/25/2022
104,Jeffrey Rivera,USA,Mouse,503.15,Active,NULL,8/21/2022
105,Cynthia Herman,India,Speaker,396.04,Completed,9/12/2022,8/31/2022
106,James Moore,Japan,Printer,768.08,Completed,1/24/2024,1/6/2024
107,Jeffrey Rivera,Japan,Speaker,900.14,Completed,4/10/2023,3/23/2023
108,Candace Harris,USA,Monitor,484.1,Completed,11/27/2023,11/26/2023
109,Jessica White,Australia,Laptop,966.68,Active,NULL,11/30/2022
110,Jeffrey Sims,France,Smartphone,461.1,Completed,12/1/2023,11/25/2023
111,Brandon Richards,UK,Tablet,734.92,Completed,5/28/2024,5/20/2024
112,Kevin King,Germany,Mouse,494.61,Active,NULL,10/13/2022
113,Justin Bowman,Japan,Monitor,362.64,Completed,1/24/2023,1/6/2023
114,James Moore,Japan,Monitor,281.17,Completed,8/3/2024,7/16/2024
115,Michelle Garrett,Canada,Tablet,461.94,Completed,8/21/2022,8/19/2022
116,Bonnie Lucero,Japan,Smartphone,188.7,Active,NULL,3/28/2023
117,Michelle Garrett,Australia,Headphones,275.02,Active,NULL,1/8/2024
118,Bonnie Lucero,Germany,Tablet,122.98,Completed,4/13/2023,4/3/2023
119,Justin Bowman,France,Laptop,547.5,Active,NULL,1/30/2024
120,Sandra Henderson,Brazil,Smartphone,650.42,Completed,5/27/2024,5/23/2024
121,Stacey Brown,UK,Printer,362.44,Completed,12/10/2023,12/2/2023
122,Candace Harris,France,Webcam,169.43,Completed,1/19/2023,1/13/2023
123,Michelle Garrett,Germany,Laptop,469.35,Active,NULL,10/30/2022
124,Candace Harris,India,Printer,683.42,Completed,7/30/2023,7/18/2023
125,Kayla Banks,Germany,Tablet,969.36,Completed,9/2/2023,8/23/2023
126,Debra Hughes,Australia,Keyboard,359.9,Completed,2/9/2023,1/20/2023
127,Sandra Henderson,Germany,Tablet,589.53,Completed,8/30/2023,8/20/2023
128,Kayla Banks,Germany,Monitor,699.48,Active,NULL,4/14/2023
129,Justin Bowman,UK,Printer,518.8,Completed,3/1/2024,2/22/2024
130,Jeffery Mills,India,Laptop,742.62,Completed,6/21/2023,6/9/2023
131,Brandon Richards,Germany,Headphones,169.49,Completed,12/6/2022,11/26/2022
132,Justin Bowman,Canada,Monitor,826.67,Completed,5/1/2023,4/29/2023
133,Jessica White,Brazil,Printer,564.45,Active,NULL,8/25/2022
134,Candace Harris,Canada,Laptop,143.66,Completed,3/14/2023,3/12/2023
135,Stacey Brown,Canada,Smartphone,113.87,Completed,12/23/2022,12/21/2022
136,Kevin King,Brazil,Monitor,352.41,Completed,4/18/2023,4/14/2023
137,James Moore,Japan,Speaker,994.61,Active,NULL,10/23/2023
138,Jessica White,Canada,Printer,970.82,Completed,10/29/2022,10/27/2022
139,Jeffrey Sims,China,Laptop,543.19,Completed,12/5/2022,11/20/2022
140,Brandon Richards,Germany,Tablet,777.64,Active,NULL,2/5/2023
141,Laurie Figueroa,China,Speaker,904.1,Completed,5/2/2023,4/17/2023
142,Jeffrey Rivera,Brazil,Speaker,628.76,Completed,8/22/2022,8/18/2022
143,Stacey Brown,Australia,Monitor,197.07,Active,NULL,12/17/2022
144,Stacey Brown,USA,Webcam,426.59,Active,NULL,8/8/2022
145,Candace Harris,China,Mouse,840.97,Completed,3/9/2024,2/23/2024
146,Gabriel Vasquez,China,Monitor,346.93,Completed,8/9/2024,7/25/2024
147,Gabriel Vasquez,India,Webcam,215.59,Active,NULL,8/19/2022
148,Michelle Garrett,UK,Tablet,324.99,Completed,2/23/2024,2/15/2024
149,Kevin King,France,Tablet,553.86,Active,NULL,4/15/2023
150,James Moore,Canada,Keyboard,212.37,Completed,10/11/2023,10/9/2023
151,Kayla Banks,Australia,Mouse,364.93,Completed,1/13/2023,12/24/2022
152,Erin Arnold,France,Keyboard,610.61,Active,NULL,12/19/2023
153,Jeffery Mills,Japan,Headphones,809.77,Completed,4/8/2023,3/21/2023
154,Jessica White,Australia,Webcam,568.16,Completed,8/17/2023,7/28/2023
155,James Moore,Brazil,Smartphone,374.84,Completed,1/25/2024,1/21/2024
156,Justin Bowman,France,Keyboard,301.39,Completed,4/1/2023,3/26/2023
157,Debra Hughes,India,Tablet,538.02,Active,NULL,2/14/2024
158,Michelle Garrett,France,Headphones,563.17,Completed,12/9/2023,12/3/2023
159,Michelle Garrett,Brazil,Smartphone,485.3,Completed,3/9/2024,3/5/2024
160,Brandon Richards,Australia,Mouse,155.96,Completed,3/1/2024,2/10/2024
161,Gabriel Vasquez,Canada,Mouse,107.89,Completed,4/7/2023,4/5/2023
162,Jessica White,Germany,Printer,830.03,Active,NULL,2/15/2024
163,Debra Hughes,Canada,Speaker,736.84,Completed,1/30/2023,1/28/2023
164,Jessica White,Australia,Webcam,134.74,Active,NULL,8/30/2023
165,Candace Harris,Japan,Smartphone,745.88,Active,NULL,8/1/2024
166,Jessica White,UK,Headphones,727.05,Active,NULL,10/29/2023
167,Kevin King,Brazil,Keyboard,880.27,Completed,9/16/2022,9/12/2022
168,Jeffery Mills,China,Smartphone,125.95,Active,NULL,10/12/2023
169,Jeffrey Rivera,Japan,Printer,546.85,Completed,3/1/2023,2/11/2023
170,Gabriel Vasquez,Canada,Speaker,336.1,Completed,12/15/2023,12/13/2023
171,Justin Bowman,UK,Webcam,213,Active,NULL,6/3/2024
172,Erin Arnold,Australia,Webcam,306.48,Active,NULL,9/29/2022
173,Kayla Banks,Japan,Mouse,653.18,Completed,11/27/2023,11/9/2023
174,Michelle Garrett,India,Keyboard,502.16,Completed,1/1/2023,12/20/2022
175,Erin Arnold,China,Headphones,366.3,Completed,8/10/2023,7/26/2023
176,James Moore,UK,Webcam,933.31,Completed,9/16/2023,9/8/2023
177,Erin Arnold,China,Speaker,304.03,Completed,10/14/2022,9/29/2022
178,Catherine Roberts,Australia,Keyboard,835.57,Active,NULL,8/27/2023
179,Cynthia Herman,Australia,Smartphone,934.01,Completed,8/31/2022,8/11/2022
180,James Moore,Germany,Monitor,200.43,Completed,7/17/2024,7/7/2024
181,Kayla Banks,Germany,Printer,910.58,Completed,3/28/2024,3/18/2024
182,Gabriel Vasquez,Australia,Headphones,813.44,Completed,4/18/2023,3/29/2023
183,Michelle Garrett,USA,Laptop,992.22,Completed,3/30/2024,3/29/2024
184,Stacey Brown,USA,Laptop,240.56,Active,NULL,12/9/2022
185,Justin Bowman,India,Webcam,421.68,Active,NULL,11/13/2022
186,Laurie Figueroa,Canada,Smartphone,337.25,Completed,12/22/2023,12/20/2023
187,Gabriel Vasquez,India,Smartphone,234.04,Completed,1/27/2023,1/15/2023
188,James Moore,India,Tablet,994.61,Active,NULL,7/27/2023
189,Jessica White,UK,Tablet,417.28,Completed,8/11/2023,8/3/2023
190,Brandon Richards,Japan,Monitor,156.22,Active,NULL,1/10/2024
191,Cynthia Herman,Australia,Mouse,965.88,Completed,12/23/2023,12/3/2023
192,Brandon Richards,Australia,Speaker,165.41,Completed,11/22/2023,11/2/2023
193,James Moore,China,Webcam,183.5,Completed,9/26/2023,9/11/2023
194,Sandra Henderson,India,Smartphone,211.8,Completed,3/3/2023,2/19/2023
195,Bonnie Lucero,India,Keyboard,308.09,Completed,5/4/2024,4/22/2024
196,Justin Bowman,Japan,Laptop,598.25,Completed,10/20/2022,10/2/2022
197,Brandon Richards,Germany,Smartphone,815.66,Completed,6/26/2024,6/16/2024
198,James Moore,India,Webcam,909.89,Completed,4/18/2024,4/6/2024
199,Jeffrey Sims,France,Headphones,123.96,Completed,4/6/2023,3/31/2023
200,Sandra Henderson,India,Speaker,486.01,Completed,4/26/2024,4/14/2024
201,Erin Arnold,Australia,Mouse,567.11,Active,NULL,8/26/2023
202,Kayla Banks,Germany,Monitor,625.93,Completed,3/21/2023,3/11/2023
203,Erin Arnold,Brazil,Tablet,219.66,Completed,10/26/2023,10/22/2023
204,Jeffrey Sims,USA,Webcam,314.77,Completed,3/21/2023,3/20/2023
205,Michelle Garrett,France,Webcam,443.35,Completed,1/22/2023,1/16/2023
206,Bonnie Lucero,Germany,Monitor,727.79,Completed,10/5/2022,9/25/2022
207,Kevin King,India,Mouse,751.59,Active,NULL,7/2/2023
208,Stacey Brown,UK,Keyboard,218.56,Completed,9/23/2023,9/15/2023
209,Catherine Roberts,China,Printer,788.86,Completed,6/21/2023,6/6/2023
210,Kevin King,Australia,Smartphone,617.6,Completed,10/10/2022,9/20/2022
211,James Moore,Japan,Monitor,786.04,Active,NULL,8/21/2023
212,Gabriel Vasquez,Canada,Smartphone,251.73,Completed,3/30/2024,3/28/2024
213,Cynthia Herman,Brazil,Mouse,538.59,Completed,5/20/2024,5/16/2024
214,Jeffrey Rivera,Japan,Tablet,759.21,Completed,6/27/2023,6/9/2023
215,Jessica White,Brazil,Monitor,826.97,Completed,6/1/2023,5/28/2023
216,Justin Bowman,Brazil,Tablet,724.98,Completed,7/23/2024,7/19/2024
217,Debra Hughes,USA,Mouse,875.7,Completed,8/19/2022,8/18/2022
218,Erin Arnold,Australia,Keyboard,424.58,Active,NULL,1/26/2024
219,Jeffrey Sims,USA,Monitor,323.12,Active,NULL,9/4/2022
220,Kevin King,Japan,Monitor,228.5,Completed,3/11/2024,2/22/2024
221,Jessica White,India,Printer,927.28,Active,NULL,5/9/2024
222,Erin Arnold,India,Headphones,380.24,Completed,9/4/2022,8/23/2022
223,Catherine Roberts,Germany,Printer,298.2,Completed,4/20/2024,4/10/2024
224,Jeffrey Sims,UK,Keyboard,920.83,Active,NULL,8/15/2022
225,Catherine Roberts,Australia,Speaker,480.2,Active,NULL,10/15/2022
226,Bonnie Lucero,Brazil,Headphones,196.64,Completed,4/29/2023,4/25/2023
227,Debra Hughes,USA,Webcam,819.87,Active,NULL,10/16/2023
228,Debra Hughes,Australia,Mouse,631.54,Completed,9/19/2022,8/30/2022
229,Kevin King,UK,Laptop,675.09,Completed,2/1/2024,1/24/2024
230,Justin Bowman,UK,Webcam,226.83,Completed,8/5/2023,7/28/2023
231,Justin Bowman,India,Mouse,243.48,Completed,10/8/2022,9/26/2022
232,Michelle Garrett,Canada,Keyboard,305.49,Completed,9/17/2022,9/15/2022
233,Debra Hughes,India,Headphones,237.48,Active,NULL,2/22/2023
234,Michelle Garrett,Australia,Tablet,760.02,Active,NULL,3/7/2024
235,Jeffrey Rivera,Canada,Tablet,394.66,Completed,5/26/2024,5/24/2024
236,Jessica White,Japan,Monitor,900.69,Completed,9/6/2023,8/19/2023
237,Sandra Henderson,India,Webcam,629.2,Active,NULL,8/20/2022
238,James Moore,UK,Webcam,425.94,Completed,10/10/2023,10/2/2023
239,Jeffrey Rivera,Germany,Printer,185.36,Active,NULL,5/24/2024
240,Kevin King,Germany,Keyboard,745.42,Completed,8/3/2024,7/24/2024
241,Laurie Figueroa,India,Webcam,573.99,Completed,11/5/2022,10/24/2022
242,Debra Hughes,USA,Speaker,758.33,Active,NULL,8/9/2023
243,Kayla Banks,Australia,Monitor,500.86,Active,NULL,6/24/2024
244,Candace Harris,USA,Speaker,297.28,Completed,6/28/2024,6/27/2024
245,Jeffery Mills,China,Mouse,702.18,Active,NULL,2/16/2023
246,Debra Hughes,France,Printer,324.49,Completed,11/11/2023,11/5/2023
247,Jeffery Mills,UK,Mouse,176.84,Active,NULL,2/9/2023
248,Stacey Brown,Canada,Mouse,381.15,Active,NULL,11/3/2023
249,Erin Arnold,Brazil,Webcam,166.87,Completed,4/27/2024,4/23/2024
250,James Moore,France,Printer,641.44,Completed,9/15/2022,9/9/2022
251,Brandon Richards,Brazil,Mouse,618.22,Completed,11/8/2023,11/4/2023
252,Kayla Banks,India,Keyboard,395.82,Completed,10/15/2023,10/3/2023
253,Cynthia Herman,Japan,Mouse,391.02,Active,NULL,7/21/2024
254,Debra Hughes,Australia,Smartphone,672.83,Active,NULL,1/21/2023
255,Erin Arnold,UK,Webcam,317.67,Active,NULL,5/20/2023
256,Michelle Garrett,China,Webcam,515.89,Active,NULL,9/10/2022
257,Kayla Banks,China,Printer,553,Completed,6/29/2023,6/14/2023
258,James Moore,India,Keyboard,347.25,Active,NULL,8/17/2022
259,Stacey Brown,Japan,Keyboard,925.64,Completed,1/8/2024,12/21/2023
260,Candace Harris,India,Speaker,170.92,Active,NULL,9/12/2023
261,Candace Harris,Germany,Keyboard,400.9,Completed,11/26/2022,11/16/2022
262,Jeffrey Sims,Brazil,Smartphone,417.77,Active,NULL,1/23/2024
263,James Moore,UK,Printer,682.36,Active,NULL,9/1/2023
264,Cynthia Herman,UK,Smartphone,915.62,Completed,9/7/2023,8/30/2023
265,Cynthia Herman,Japan,Speaker,182.58,Completed,7/21/2024,7/3/2024
266,Stacey Brown,Australia,Printer,591.42,Active,NULL,1/25/2024
267,Jeffrey Rivera,Japan,Monitor,293.39,Completed,6/16/2024,5/29/2024
268,Jeffrey Sims,USA,Webcam,102.29,Completed,8/4/2024,8/3/2024
269,Laurie Figueroa,India,Laptop,872.5,Active,NULL,6/29/2023
270,Debra Hughes,UK,Mouse,455.63,Completed,10/23/2023,10/15/2023
271,Justin Bowman,China,Speaker,486.48,Active,NULL,4/14/2023
272,Candace Harris,Japan,Tablet,971.61,Completed,1/25/2023,1/7/2023
273,Candace Harris,Australia,Speaker,845.06,Completed,12/24/2022,12/4/2022
274,James Moore,Australia,Smartphone,511.96,Completed,5/1/2023,4/11/2023
275,Sandra Henderson,China,Keyboard,951.05,Completed,12/14/2023,11/29/2023
276,Jeffrey Sims,France,Webcam,293.19,Completed,11/30/2023,11/24/2023
277,Kevin King,UK,Mouse,856.22,Completed,8/24/2023,8/16/2023
278,Jeffery Mills,Canada,Keyboard,211.55,Completed,5/16/2024,5/14/2024
279,Catherine Roberts,Brazil,Mouse,547.75,Completed,2/28/2024,2/24/2024
280,Jessica White,France,Monitor,989.65,Completed,11/19/2022,11/13/2022
281,Justin Bowman,China,Smartphone,705.91,Completed,8/12/2024,7/28/2024
282,Laurie Figueroa,USA,Speaker,308.38,Active,NULL,9/5/2022
283,Sandra Henderson,India,Webcam,636.41,Completed,5/5/2023,4/23/2023
284,James Moore,China,Webcam,692.1,Completed,8/10/2024,7/26/2024
285,Michelle Garrett,India,Speaker,768.66,Completed,4/15/2023,4/3/2023
286,James Moore,Japan,Tablet,230.04,Completed,12/14/2022,11/26/2022
287,Gabriel Vasquez,China,Laptop,689.99,Completed,11/18/2022,11/3/2022
288,Jessica White,France,Speaker,575.74,Completed,12/3/2022,11/27/2022
289,Jessica White,Canada,Headphones,517.74,Completed,9/16/2022,9/14/2022
290,Michelle Garrett,USA,Speaker,136.77,Completed,11/7/2022,11/6/2022
291,Jessica White,UK,Printer,344.72,Completed,1/27/2023,1/19/2023
292,Debra Hughes,Canada,Printer,330.92,Completed,6/13/2023,6/11/2023
293,Brandon Richards,France,Keyboard,868.64,Active,NULL,8/26/2022
294,Jessica White,India,Smartphone,808.16,Active,NULL,12/12/2022
295,Jeffrey Rivera,USA,Printer,511.73,Completed,1/11/2024,1/10/2024
296,Erin Arnold,UK,Printer,557.68,Active,NULL,2/24/2023
297,Debra Hughes,Japan,Speaker,599.8,Active,NULL,1/4/2023
298,Stacey Brown,Germany,Speaker,716.44,Completed,10/2/2022,9/22/2022
299,Debra Hughes,Brazil,Webcam,975.07,Completed,4/23/2023,4/19/2023
300,Jeffery Mills,India,Headphones,274.02,Active,NULL,7/1/2023
301,Erin Arnold,Australia,Printer,166.38,Completed,10/6/2022,9/16/2022
302,Candace Harris,India,Keyboard,345.3,Completed,6/24/2023,6/12/2023
303,Michelle Garrett,China,Printer,851.13,Completed,10/28/2023,10/13/2023
304,Laurie Figueroa,France,Speaker,762.26,Active,NULL,4/1/2023
305,Sandra Henderson,Brazil,Smartphone,540.31,Completed,6/4/2024,5/31/2024
306,Jessica White,Canada,Mouse,605.67,Active,NULL,1/4/2024
307,Cynthia Herman,France,Speaker,918.65,Active,NULL,11/22/2022
308,Jessica White,India,Tablet,756.45,Active,NULL,11/2/2022
309,Candace Harris,China,Speaker,900.02,Completed,7/26/2023,7/11/2023
310,Justin Bowman,Germany,Laptop,996.34,Active,NULL,12/1/2022
311,Stacey Brown,Australia,Headphones,674.53,Completed,1/3/2024,12/14/2023
312,Jeffrey Sims,UK,Smartphone,644.19,Active,NULL,10/5/2023
313,Stacey Brown,Germany,Laptop,146.91,Active,NULL,6/12/2024
314,Sandra Henderson,Australia,Headphones,560.71,Completed,4/23/2023,4/3/2023
315,Cynthia Herman,Germany,Mouse,237.59,Completed,3/7/2023,2/25/2023
316,Brandon Richards,Australia,Printer,247,Completed,8/4/2023,7/15/2023
317,Justin Bowman,Brazil,Keyboard,248.6,Completed,9/22/2022,9/18/2022
318,Debra Hughes,India,Mouse,279.25,Completed,1/13/2024,1/1/2024
319,Erin Arnold,Canada,Printer,608.35,Completed,3/23/2023,3/21/2023
320,Candace Harris,UK,Keyboard,291.99,Completed,4/28/2023,4/20/2023
321,Bonnie Lucero,Canada,Headphones,660.56,Completed,3/12/2024,3/10/2024
322,Justin Bowman,France,Tablet,113.04,Completed,6/18/2023,6/12/2023
323,Jeffery Mills,Brazil,Webcam,594.15,Completed,4/20/2023,4/16/2023
324,Stacey Brown,Canada,Webcam,742.39,Active,NULL,9/24/2022
325,Jeffery Mills,India,Mouse,425.07,Active,NULL,5/9/2024
326,Bonnie Lucero,Japan,Webcam,315.84,Completed,10/31/2023,10/13/2023
327,Jeffrey Sims,Brazil,Tablet,492.66,Completed,6/20/2023,6/16/2023
328,Jessica White,India,Webcam,953.19,Completed,9/14/2022,9/2/2022
329,Erin Arnold,China,Printer,204.88,Completed,8/1/2024,7/17/2024
330,Jeffrey Rivera,Japan,Printer,480.07,Completed,2/1/2023,1/14/2023
331,Sandra Henderson,Australia,Printer,883.84,Completed,2/12/2024,1/23/2024
332,Sandra Henderson,Japan,Printer,824.2,Completed,12/29/2022,12/11/2022
333,Gabriel Vasquez,France,Laptop,787.15,Completed,7/2/2023,6/26/2023
334,Candace Harris,USA,Printer,601.25,Completed,4/20/2023,4/19/2023
335,Bonnie Lucero,France,Monitor,452.59,Completed,8/20/2023,8/14/2023
336,Jeffrey Rivera,India,Headphones,104.02,Active,NULL,6/17/2023
337,Kayla Banks,Australia,Speaker,704.46,Completed,12/17/2022,11/27/2022
338,Brandon Richards,China,Webcam,290.61,Completed,4/7/2023,3/23/2023
339,Catherine Roberts,Japan,Speaker,177.02,Completed,10/2/2023,9/14/2023
340,Jeffery Mills,Germany,Tablet,399.37,Active,NULL,12/15/2022
341,Laurie Figueroa,Brazil,Monitor,617.65,Active,NULL,9/24/2022
342,Gabriel Vasquez,Japan,Smartphone,919.62,Completed,6/11/2023,5/24/2023
343,Catherine Roberts,Australia,Headphones,429.64,Completed,11/7/2023,10/18/2023
344,Jeffrey Sims,India,Webcam,916.48,Completed,6/13/2023,6/1/2023
345,Stacey Brown,France,Laptop,629.82,Active,NULL,6/3/2024
346,Justin Bowman,Brazil,Headphones,128.57,Active,NULL,1/8/2024
347,Debra Hughes,Brazil,Webcam,536.51,Completed,4/16/2024,4/12/2024
348,Stacey Brown,Japan,Tablet,107.43,Active,NULL,10/26/2023
349,Laurie Figueroa,India,Keyboard,180.15,Completed,3/6/2024,2/23/2024
350,Sandra Henderson,Germany,Headphones,747.96,Active,NULL,5/10/2023
351,Stacey Brown,UK,Speaker,712.13,Completed,2/6/2024,1/29/2024
352,Cynthia Herman,Brazil,Headphones,198.53,Active,NULL,4/10/2023
353,Cynthia Herman,Australia,Laptop,896.84,Active,NULL,5/30/2024
